#TYPE Selected.System.Management.Automation.PSCustomObject
"File";"Hash";"Algorithm"
"\Installers\0b63b7c537782729483bff2d64a620fa.cab";"E9C9CE88C59C831769070539CF08E601ED544EB268A694E9195587DD4F93CAF8";"SHA256"
"\Installers\13334584cdbf659a8dd105fc34851ea3.cab";"0B9D4B75D7251805DF1B35D4D28C3C44A34CEFF672B220EDB863C46C3D7D62CE";"SHA256"
"\Installers\24ab0f36f991590c112d8f31215bfe53.cab";"F33D683D34B93231A865F9A29070F0075E77935BBF4E77BD6EDBFEA4471C5A1C";"SHA256"
"\Installers\3b8aa90b3015bd30b59330184cbbb275.cab";"54C2E7223E6FDDCC70CB60BC9564A94B5E65687364338A7B07E0D99C6150EA4B";"SHA256"
"\Installers\3ffff92a2c7e8b2f1a6e85afeaa027ca.cab";"9BA19666F8FB477A8BA5702142E013B727D3481384E49F3B5FA1C2CFE45A0627";"SHA256"
"\Installers\755a8f59ce4582d52bc4c91761db7935.cab";"8ECFABD16149BA04A259E862E048A36EEE2FE82306EA36C12449823CF9CB6338";"SHA256"
"\Installers\856a378483a6c7e8068c4f52cb49227c.cab";"C189CAD94DB458452B6C5697FC54830E74A19695251BCBA1F8E8BE0FFBDB8D0A";"SHA256"
"\Installers\8686aa39453398c3a04c1edaac29ca7a.cab";"58F10485EF2FB6D71242342740051BFE212985D83BFA763B8C69FC6BAD639029";"SHA256"
"\Installers\9722214af0ab8aa9dffb6cfdafd937b7.cab";"BF3E220A47C9B53CB55CA76C8CE2A91034CB65F8855F1BEF066A9A80F650BF84";"SHA256"
"\Installers\a6296c5a6eec9ca02b431ed0461b952d.cab";"7497505556CEBED532E8800E394F3694F7F0967C5E014D1A57EB37BDEE8FF4A1";"SHA256"
"\Installers\bfdbb113d9d5201e5897ed28d0a47f42.cab";"521688A2275FCB2A9AE71488E328A4110334AAC7C3FB21EDF981F8B64BA60F9E";"SHA256"
"\Installers\e4ef343897232361feeab2810591d8ae.cab";"7A5C343D65D73591E7DFCB79E62BB273243184DA18D359E94725176100B69DD5";"SHA256"
"\Installers\e7a23bd4ab45aa717a3e0b2fa877dce9.cab";"95659D7A7835B474F9F5CA8EACEE93F2956B49E01C7575B67A8B9546B901B21D";"SHA256"
"\Installers\f493bb83bbe844f5cd3610b0847bc113.cab";"DA04C21E05EF055C3E9EA103D9EF4BB7F741225293FB31C1BF5C98648E4EF500";"SHA256"
"\Installers\f53c2cdf2f5aeeaef4ca19d4b3344930.cab";"73A161C63EEDEB010B3644C090C5941F034CF5823C57BDA27F1BD005DB37AF1F";"SHA256"
"\Installers\Kits Configuration Installer-x86_en-us.msi";"43641DFA4C69DF94AC6AA2F82CC110A4A9C7DFE775B8FC3F6F5054875507A237";"SHA256"
"\Installers\Windows PE Boot Files (DesktopEditions)-x86_en-us.msi";"F8524DE728238B67E0ABE9480BA018E532C7C69D5C6004844D2963234DC20917";"SHA256"
"\Installers\Windows PE Boot Files (OnecoreUAP)-x86_en-us.msi";"BEB2515979F535EC1DFEBEA97A17F2715822FF35B17C02F77030097B941B7D1F";"SHA256"
"\Installers\Windows PE Optional Packages (DesktopEditions)-x86_en-us.msi";"3F62593CACC4B34B60C7D0210FBE37558DC53AC33A7CE7CC66A2D670B2C7A165";"SHA256"
"\Installers\Windows PE Scripts-x86_en-us.msi";"4D35A1905C1EE48C23D88145D82B8DDFAFDE4D8B8665FB62B9AC5C31F0ED0226";"SHA256"
"\Installers\Windows PE wims (DesktopEditions)-x86_en-us.msi";"EE2A4E4982F8FD0F94BBEF55855FA127FB0B92D348B56A6CBDF100F07B0809D4";"SHA256"
"\adkwinpesetup.exe";"3829526E902D1C1754A94A818565F3283F001AA7CD13119DA7A2CEFDC155F79A";"SHA256"
